UW Fixed Saver 41,DD,11 East Midlands,23.460,6.145,47.666,24.555,47.404,35.451,5.134
UW Fixed Saver 41,DD,12 London,23.951,6.165,33.082,26.710,33.000,37.837,6.437
UW Fixed Saver 41,DD,13 Manweb,23.871,6.528,58.132,24.951,57.948,33.299,8.843
UW Fixed Saver 41,DD,14 Midlands,23.638,6.285,54.060,24.346,54.063,35.327,4.871
UW Fixed Saver 41,DD,15 Northern,23.699,6.348,62.142,23.570,61.837,32.374,7.346
UW Fixed Saver 41,DD,16 Norweb,23.723,6.231,43.033,25.624,42.815,34.605,8.538
UW Fixed Saver 41,DD,17 Scottish Hydro,23.723,6.367,52.504,24.962,53.408,31.836,11.145
UW Fixed Saver 41,DD,18 Scottish Power,23.756,6.240,54.592,24.109,55.526,32.544,8.190
UW Fixed Saver 41,DD,19 Seeboard,23.373,6.298,48.559,25.130,48.918,36.094,5.452
UW Fixed Saver 41,DD,20 Southern,23.288,6.363,54.693,24.553,54.936,34.915,5.517
UW Fixed Saver 41,DD,21 Swalec,23.784,6.486,54.540,25.220,54.073,35.773,6.076
UW Fixed Saver 41,DD,22 Sweb,23.381,6.551,58.351,24.953,58.884,35.185,6.467
UW Fixed Saver 41,DD,23 Yorkshire,23.690,6.335,58.540,23.976,58.405,34.881,4.648
UW Fixed Saver 41,CC,10 Eastern,28.716,6.557,48.141,27.012,48.116,38.894,5.689
UW Fixed Saver 41,CC,11 East Midlands,28.719,6.457,54.037,25.781,53.995,37.188,5.501
UW Fixed Saver 41,CC,12 London,28.708,6.477,38.130,27.936,38.124,39.574,6.804
UW Fixed Saver 41,CC,13 Manweb,28.713,6.840,64.590,26.177,64.541,35.036,9.210
UW Fixed Saver 41,CC,14 Midlands,28.713,6.597,60.615,25.572,60.563,37.064,5.238
UW Fixed Saver 41,CC,15 Northern,28.711,6.660,69.127,24.796,69.061,34.111,7.713
UW Fixed Saver 41,CC,16 Norweb,28.716,6.543,48.935,26.850,48.908,36.342,8.905
UW Fixed Saver 41,CC,17 Scottish Hydro,28.716,6.679,58.889,26.188,58.845,33.573,11.512
UW Fixed Saver 41,CC,18 Scottish Power,28.716,6.552,60.949,25.335,60.897,34.281,8.557
UW Fixed Saver 41,CC,19 Seeboard,28.716,6.610,55.187,26.356,55.152,37.831,5.819
UW Fixed Saver 41,CC,20 Southern,28.705,6.675,61.659,25.779,61.609,36.652,5.884
UW Fixed Saver 41,CC,21 Swalec,28.700,6.798,60.968,26.446,60.919,37.510,6.443
UW Fixed Saver 41,CC,22 Sweb,28.694,6.863,65.420,26.179,65.363,36.922,6.834
UW Fixed Saver 41,CC,23 Yorkshire,28.713,6.647,65.305,25.202,65.245,36.618,5.015
UW Fixed 40,DD,10 Eastern,27.325,6.212,45.810,25.684,46.206,36.974,5.315
UW Fixed 40,DD,11 East Midlands,27.374,6.058,51.580,24.252,51.318,35.125,5.155
UW Fixed 40,DD,12 London,27.865,6.089,36.996,26.348,36.914,37.329,6.388
UW Fixed 40,DD,13 Manweb,27.785,6.498,62.046,24.866,61.862,33.180,8.878
UW Fixed 40,DD,14 Midlands,27.552,6.221,57.974,24.058,57.977,34.958,4.864
UW Fixed 40,DD,15 Northern,27.613,6.276,66.056,23.285,65.751,31.950,7.281
UW Fixed 40,DD,16 Norweb,27.637,6.199,46.947,25.536,46.729,34.512,8.598
UW Fixed 40,DD,17 Scottish Hydro,27.637,6.164,56.418,24.237,57.322,31.142,11.313
UW Fixed 40,DD,18 Scottish Power,27.670,6.161,58.506,23.763,59.440,32.182,8.241
UW Fixed 40,DD,19 Seeboard,27.287,6.219,52.473,24.786,52.832,35.651,5.434
UW Fixed 40,DD,20 Southern,27.202,6.318,58.607,24.383,58.850,34.881,5.629
UW Fixed 40,DD,21 Swalec,27.698,6.415,58.454,24.865,57.987,35.353,6.076
UW Fixed 40,DD,22 Sweb,27.295,6.518,62.265,24.844,62.798,34.970,6.440
UW Fixed 40,DD,23 Yorkshire,27.604,6.253,62.454,23.679,62.319,34.621,4.694
UW Fixed 40,CC,10 Eastern,32.630,6.524,52.055,26.910,52.030,38.711,5.682
UW Fixed 40,CC,11 East Midlands,32.633,6.370,57.951,25.478,57.909,36.862,5.522
UW Fixed 40,CC,12 London,32.622,6.401,42.044,27.574,42.038,39.066,6.755
UW Fixed 40,CC,13 Manweb,32.627,6.810,68.504,26.092,68.455,34.917,9.245
UW Fixed 40,CC,14 Midlands,32.627,6.533,64.529,25.284,64.477,36.695,5.231
UW Fixed 40,CC,15 Northern,32.625,6.588,73.041,24.511,72.975,33.687,7.648
UW Fixed 40,CC,16 Norweb,32.630,6.511,52.849,26.762,52.822,36.249,8.965
UW Fixed 40,CC,17 Scottish Hydro,32.630,6.476,62.803,25.463,62.759,32.879,11.680
UW Fixed 40,CC,18 Scottish Power,32.630,6.473,64.863,24.989,64.811,33.919,8.608
UW Fixed 40,CC,19 Seeboard,32.630,6.531,59.101,26.012,59.066,37.388,5.801
UW Fixed 40,CC,20 Southern,32.619,6.630,65.573,25.609,65.523,36.618,5.996
UW Fixed 40,CC,21 Swalec,32.614,6.727,64.882,26.091,64.833,37.090,6.443
UW Fixed 40,CC,22 Sweb,32.608,6.830,69.334,26.070,69.277,36.707,6.807
UW Fixed 40,CC,23 Yorkshire,32.627,6.565,69.219,24.905,69.159,36.358,5.061
UW Fixed 42,DD,10 Eastern,28.314,6.371,43.717,27.064,44.034,39.743,5.730
UW Fixed 42,DD,11 East Midlands,28.358,6.217,44.421,26.277,44.145,38.739,5.543
UW Fixed 42,DD,12 London,28.777,6.242,41.385,26.859,41.226,38.574,7.004
UW Fixed 42,DD,13 Manweb,28.711,6.670,63.615,25.788,63.286,34.791,9.354
UW Fixed 42,DD,14 Midlands,28.514,6.375,47.993,26.532,47.921,39.343,5.619
UW Fixed 42,DD,15 Northern,28.566,6.439,54.372,25.969,53.998,36.186,8.165
UW Fixed 42,DD,16 Norweb,28.580,6.362,46.254,26.717,45.952,36.495,9.366
UW Fixed 42,DD,17 Scottish Hydro,28.585,6.342,55.361,25.397,56.127,32.562,11.919
UW Fixed 42,DD,18 Scottish Power,28.610,6.318,51.199,25.853,51.951,35.331,9.647
UW Fixed 42,DD,19 Seeboard,28.278,6.376,43.128,27.158,43.431,39.652,6.093
UW Fixed 42,DD,20 Southern,28.207,6.476,40.366,27.977,40.538,40.697,6.769
UW Fixed 42,DD,21 Swalec,28.640,6.572,46.709,27.620,46.184,39.923,6.930
UW Fixed 42,DD,22 Sweb,28.292,6.686,49.070,27.768,49.521,39.772,7.282
UW Fixed 42,DD,23 Yorkshire,28.552,6.417,53.232,26.021,52.986,38.757,5.422
UW Fixed 42,CC,10 Eastern,33.827,6.721,49.937,28.418,49.918,41.680,6.115
UW Fixed 42,CC,11 East Midlands,33.830,6.567,50.507,27.631,50.482,40.676,5.928
UW Fixed 42,CC,12 London,33.819,6.592,46.805,28.213,46.789,40.511,7.389
UW Fixed 42,CC,13 Manweb,33.825,7.020,70.277,27.142,70.230,36.728,9.739
UW Fixed 42,CC,14 Midlands,33.827,6.725,54.115,27.886,54.084,41.280,6.004
UW Fixed 42,CC,15 Northern,33.827,6.789,60.830,27.323,60.789,38.123,8.550
UW Fixed 42,CC,16 Norweb,33.825,6.712,52.225,28.071,52.205,38.432,9.751
UW Fixed 42,CC,17 Scottish Hydro,33.827,6.692,61.789,26.751,61.753,34.499,12.304
UW Fixed 42,CC,18 Scottish Power,33.827,6.668,57.271,27.207,57.238,37.268,10.032
UW Fixed 42,CC,19 Seeboard,33.827,6.726,49.345,28.512,49.329,41.589,6.478
UW Fixed 42,CC,20 Southern,33.819,6.826,46.446,29.331,46.436,42.634,7.154
UW Fixed 42,CC,21 Swalec,33.816,6.922,52.619,28.974,52.600,41.860,7.315
UW Fixed 42,CC,22 Sweb,33.814,7.036,55.526,29.122,55.501,41.709,7.667
UW Fixed 42,CC,23 Yorkshire,33.825,6.767,59.605,27.375,59.567,40.694,5.807
UW Fixed Saver 43,DD,10 Eastern,24.400,6.056,39.803,25.598,40.120,37.590,5.420
UW Fixed Saver 43,DD,11 East Midlands,24.444,5.958,40.507,25.063,40.231,36.949,5.287
UW Fixed Saver 43,DD,12 London,24.863,5.982,37.471,25.643,37.312,36.828,6.687
UW Fixed Saver 43,DD,13 Manweb,24.797,6.336,59.701,24.238,59.372,32.700,8.792
UW Fixed Saver 43,DD,14 Midlands,24.600,6.095,44.079,25.225,44.008,37.405,5.342
UW Fixed Saver 43,DD,15 Northern,24.652,6.159,50.458,24.664,50.084,34.367,7.754
UW Fixed Saver 43,DD,16 Norweb,24.666,6.045,42.340,25.242,42.038,34.480,8.849
UW Fixed Saver 43,DD,17 Scottish Hydro,24.671,6.178,51.447,24.618,52.213,31.563,11.553
UW Fixed Saver 43,DD,18 Scottish Power,24.696,6.054,47.285,24.620,48.037,33.646,9.187
UW Fixed Saver 43,DD,19 Seeboard,24.364,6.109,39.214,25.913,39.517,37.834,5.814
UW Fixed Saver 43,DD,20 Southern,24.293,6.169,36.452,26.549,36.624,38.620,6.423
UW Fixed Saver 43,DD,21 Swalec,24.726,6.293,42.795,26.317,42.270,38.039,6.602
UW Fixed Saver 43,DD,22 Sweb,24.378,6.357,45.156,26.237,45.607,37.580,6.880
UW Fixed Saver 43,DD,23 Yorkshire,24.638,6.144,49.318,24.748,49.072,36.861,5.157
UW Fixed Saver 43,CC,10 Eastern,29.705,6.368,46.048,26.824,45.944,39.327,5.787
UW Fixed Saver 43,CC,11 East Midlands,29.703,6.270,46.878,26.289,46.822,38.686,5.654
UW Fixed Saver 43,CC,12 London,29.620,6.294,42.519,26.869,42.436,38.565,7.054
UW Fixed Saver 43,CC,13 Manweb,29.639,6.648,66.159,25.464,65.965,34.437,9.159
UW Fixed Saver 43,CC,14 Midlands,29.675,6.407,50.634,26.451,50.508,39.142,5.709
